,BRA,CAN,CHN,DEU,ESP,FRA,GBR,ITA,JPN,KOR,MEX,NLD,RUS,SGP,SWE,TWN,USA
HKG,,,13795873.1,,,,,,,,,,,,,,
IDN,,,16344392.7,,,,,,,,,,,22725265.41,,,
IND,,,33951787.1,,,,,,,,,,,,,,
JPN,,,655263.67,,,,,,,,,,,,,,3269815.91
KOR,,,51876147.2,,,,,,42737582.8,,,,,,,,
MYS,,,262232.58,,,,,,,,,,,,,,
PHL,,,6439939.584,,,,,,,,,,,,,,
SGP,,,21858598.91,,,,,,,,,,,,,23137517.57,2388481.15
THA,,,212593.6,,,,,,26511159.3,,,,,,,,
TWN,,,278934.42,,,,,,36884.22,,,,,,,,
VNM,,,25568288.77,,,,,,,172933.11,,,,,,,
DEU,,,,,,,,,,,,491161.66,,,,,
ARG,746996.96,,5846387.2,,,,,,,,,,,,,,
AUS,,,1397724.74,,,,,,,,,,,,,,914179.2
BRA,,,22895491.7,,,,,,,,,,,,,,187113.95
COL,,,,,,,,,,,,,,,,,5967821.312
NGA,,,512569.856,,,,,,,,,,,,,,
PAK,,,629899.264,,,,,,,,,,,,,,
KAZ,,,,,,,,,,,,,5968826.368,,,,
RUS,,,1725698.48,16125271.4,,,,,,,,,,,,,
SAU,,,,,,,,,,,,,,,,,9211294.72
VEN,,,,,,,,,,,,,,,,,5369186.816
ZAF,,,5834475.52,,,,,,,,,,,,,,
CHN,,,,49256431.62,,,,,,13375246,,,,,,12221299.1,66945187.84
CAN,,,,,,,,,,,,,,,,,17966144.5
MEX,,,3416195.97,,,,,,,,,,,,,,115225149.4
AUT,,,,3231513.23,,,,,,,,,,,,,
BEL,,,,2891912.58,,,,,,,,25469278.21,,,,,
BLR,,,,,,,,,,,,,552186.368,,,,
CHE,,,,25547739.14,,,,,,,,,,,,,
CZE,,,,25984786.43,,,,,,,,,,,,,
DNK,,,,161999.1,,,,,,,,,,,,,
ESP,,,,22893281.28,,21968838.66,,,,,,,,,,,
FIN,,,,598783.232,,,,,,,,,,,,,
FRA,,,,54619959.3,,,,,,,,,,,,,
GBR,,,,42844397.57,,,,,,,,,,,,,
HUN,,,,17446535.17,,,,,,,,,,,,,
IRL,,,,,,,6324344.32,,,,,,,,,,
ITA,,,,36598927.36,,,,,,,,,,,,,
NLD,,,,42255167.49,,,,,,,,,,,,,
NOR,,,,,,,,,,,,,,,5823245.824,,
POL,,,,29225897.98,,,,,,,,,,,,,
PRT,,,,,17823.16,,,,,,,,,,,,
ROU,,,,89338.8,,,,5493276.672,,,,,,,,,
SVK,,,,855958.992,,,,,,,,,,,,,
SWE,,,,12942817.28,,,,,,,,,,,,,
USA,,11531176.1,134283165.7,4895839.27,,,,,69618.54,,13667327,,,,,,
